state,funding_ics,raw_funding,econ_impact,jobs,pop_2024
HI,NIDA,1264186.4817444899,3576491.5907823863,11.504096983874854,1434952
HI,NIDCD,18231.078043932008,51577.27776446731,0.1659028101997813,1434952
HI,NIDCR,10046.535103098653,28422.50635614266,0.09142346943819775,1434952
HI,NIDDK,1546715.9526783556,4375791.608251958,14.075115169373035,1434952
HI,NIEHS,428720.9416521,1212888.181255641,3.9013605690341095,1434952
HI,NIGMS,16663379.119880538,47142123.53705333,151.63674999091288,1434952
HI,NIH_tot,64287850.288974315,181875822.3317759,585.0194376296662,1434952
HI,NIMH,1670971.6944940994,4727321.720405345,15.205842419896301,1434952
HI,NIMHD,9467846.935127389,26785348.075840145,86.15740710965922,1434952
HI,NINDS,208134.75610462463,588831.0116483159,1.8940262805520842,1434952
HI,NINR,6854.00958681908,19390.578846068373,0.062371487240053626,1434952
HI,NLM,66470.52741855464,188050.8024569904,0.6048817995088474,1434952
HI,OD,5469588.95532741,15473934.57076885,49.773259493479436,1434952
IA,FIC,988281.8289778521,2427148.078462324,7.8074264489250345,3230454
IA,NCATS,6044981.394616481,14846033.333890935,47.7553530174702,3230454
IA,NCCIH,1032955.3032970211,2536862.872534933,8.160346896046468,3230454
IA,NCI,23030528.240948226,56561297.32123456,181.941173103491,3230454
IA,NEI,6355834.518833399,15609465.93075192,50.21109269878384,3230454
IA,NHGRI,559168.0482754067,1373275.936190057,4.417427581375712,3230454
IA,NHLBI,29135648.732738506,71555027.89073774,230.1716249886342,3230454
IA,NIA,11998254.801550768,29466838.539978784,94.78621293225108,3230454
IA,NIAAA,3215864.5252898457,7897928.682170811,25.405329749789797,3230454
IA,NIAID,27832496.41395734,68354580.85859431,219.87672167026298,3230454
IA,NIAMS,3376603.0011240477,8292690.6532165045,26.675163708879992,3230454
IA,NIBIB,2254232.29416462,5536230.071990918,17.808435123900495,3230454
IA,NICHD,6535739.071780927,16051298.389054684,51.632338667069355,3230454
IA,NIDA,2733223.0012858696,6712596.307109368,21.59246171015837,3230454
IA,NIDCD,12038595.402846321,29565912.113981236,95.10490368248591,3230454
IA,NIDCR,6390646.917728418,15694962.642931791,50.486110650054485,3230454
IA,NIDDK,14419966.235052306,35414385.16085794,113.91773325691325,3230454
IA,NIEHS,6799001.211107014,16697850.99870659,53.712109567745415,3230454
IA,NIGMS,19393697.058024578,47629505.23672905,153.21020675839407,3230454
IA,NIH_tot,228733642.56110013,561753140.3932184,1806.995776232691,3230454
IA,NIMH,8251331.6617174875,20264668.640327435,65.18552012756815,3230454
IA,NIMHD,542304.2048265953,1331859.5668689634,4.284203218130104,3230454
IA,NINDS,23807000.15586584,58468255.701944105,188.07530123134018,3230454
IA,NINR,880480.4964743971,2162395.8697608286,6.955795922147737,3230454
IA,NLM,1463748.96639565,3594860.6834276156,11.56361683452564,3230454
IA,OD,9653059.074221157,23707208.911765035,76.25916668634717,3230454
ID,FIC,29088.513804372644,121186.03425476179,0.2676143270002284,2000872
ID,NCATS,70947.91580430006,295577.03129100415,0.6527208253995608,2000872
ID,NCCIH,483874.09410866484,2015874.1329311156,4.451641665799717,2000872
ID,NCI,1246827.450110478,5194423.994812423,11.47081254101639,2000872
ID,NEI,904229.2517320577,3767121.201568108,8.318909115934927,2000872
ID,NHGRI,53419.09233251383,222549.9727075493,0.49145564945912734,2000872
ID,NHLBI,646954.0474315466,2695283.639465645,5.951977236370227,2000872
ID,NIA,3182282.922660619,13257750.116333611,29.2770028884777,2000872
ID,NIAAA,788463.0461730731,3284826.1126280185,7.2538600247922735,2000872
ID,NIAID,3790212.940565619,15790455.240761748,34.8699590532037,2000872
ID,NIAMS,252791.80202063697,1053159.2017736838,2.3256845785898594,2000872
ID,NIBIB,274621.4505685178,1144103.983431633,2.526517345230364,2000872
ID,NICHD,1478437.8101046598,6159338.916515757,13.601627852962869,2000872
ID,NIDA,589210.5023306488,2454717.5080486177,5.420736621441969,2000872
ID,NIDCD,140796.05164796996,586572.2550383864,1.2953236751613233,2000872
ID,NIDCR,102242.76832762864,425954.9218699215,0.9406334686141836,2000872
ID,NIDDK,317683.1787704226,1323504.0072362458,2.9226852446878877,2000872
ID,NIEHS,435834.45783824124,1815735.581824434,4.009677012111821,2000872
ID,NIGMS,14360617.67920959,59827955.3811589,132.1176826487282,2000872
ID,NIH_tot,33648483.66853663,140183383.78852138,309.56604975053716,2000872
ID,NIMH,2093615.5344974175,8722238.804849705,19.261262917376232,2000872
ID,NIMHD,269878.790908386,1124345.5275718146,2.4828848763571525,2000872
ID,NINDS,1127188.5318193838,4695994.7471810905,10.370134492738332,2000872
ID,NINR,160468.64557853728,668530.5035065969,1.4763115393225426,2000872
ID,NLM,16344.54124314423,68093.20504618896,0.15036977943692698,2000872
ID,OD,832452.648948206,3468091.766714454,7.658564370323496,2000872
IL,FIC,2493437.7445955323,7132844.205832927,24.685033671495773,12703033
IL,NCATS,26940842.210620545,77068228.66494127,266.7143378851434,12703033
IL,NCCIH,4700005.834869633,13445055.71045203,46.53005776520936,12703033
IL,NCI,156963617.9155895,449017439.87893295,1553.939817364336,12703033
IL,NEI,27228286.586834274,77890505.44238216,269.5600372096595,12703033
IL,NHGRI,13021218.624721544,37249104.78376307,128.91006438474335,12703033
IL,NHLBI,146821982.64606258,420005805.4289821,1453.53762819602,12703033
IL,NIA,144164290.60918093,412403087.7404214,1427.2264770308902,12703033
IL,NIAAA,15642166.077610742,44746709.203064844,154.85744416834632,12703033
IL,NIAID,119454956.92726885,341718416.3605042,1182.6040735799618,12703033
IL,NIAMS,22218282.947573178,63558655.56685933,219.96100118097456,12703033
IL,NIBIB,17512799.319997575,50097929.82732863,173.37671326797602,12703033
IL,NICHD,44887089.73575946,128406100.6264868,444.3821883840183,12703033
IL,NIDA,40181316.053708255,114944545.14360678,397.7950289317116,12703033
IL,NIDCD,17828279.290870402,51000406.53330375,176.49996497961703,12703033
IL,NIDCR,9282367.174014665,26553572.094227016,91.89543502274522,12703033
IL,NIDDK,88382043.69912435,252829792.78924516,874.9822326213315,12703033
IL,NIEHS,16609403.48920554,47513633.61572062,164.4330945431349,12703033
IL,NIGMS,128551347.65472215,367739975.5652363,1272.6583417817496,12703033
IL,NIH_tot,1286791250.9535918,3681055016.6632276,12739.233384440553,12703033
IL,NIMH,53482056.47668871,152993263.00912285,529.4723591192181,12703033
IL,NIMHD,15770700.829567023,45114401.70420178,156.12993821271354,12703033
IL,NINDS,101002971.80654259,288933807.8657617,999.9294208847717,12703033
IL,NINR,5241347.276180465,14993642.263856256,51.88933803418659,12703033
IL,NLM,2366317.531434676,6769198.200291389,23.426543561203292,12703033
IL,OD,66044122.490848005,188928894.43870223,653.8368126593953,12703033
IN,FIC,563913.608765903,1517137.0769559697,4.962439757139944,6934754
IN,NCATS,9700659.179762552,26098376.566472627,85.36580078191047,6934754
IN,NCCIH,1047921.4169498159,2819297.8688173336,9.221708469158381,6934754
IN,NCI,45301136.19516001,121876883.76649962,398.6499985174078,6934754
IN,NEI,12449217.329428496,33493018.95886566,109.55311249897073,6934754
IN,NHGRI,2870378.1291441927,7722383.3880128125,25.259327536468902,6934754
IN,NHLBI,42417348.29163795,114118423.1042626,373.2726649664144,6934754
IN,NIA,86296569.07095422,232169826.22241828,759.409807824397,6934754
IN,NIAAA,13599675.055896489,36588177.58806561,119.6771404918892,6934754
IN,NIAID,41744948.13573993,112309416.91748801,367.35554359451123,6934754
IN,NIAMS,9492452.24538808,25538222.573186062,83.53357975941512,6934754
IN,NIBIB,2837580.3749424885,7634145.246271225,24.9707072994939,6934754
IN,NICHD,18824204.74909545,50644103.14828733,165.65300179204007,6934754
IN,NIDA,15150769.780127771,40761198.56046596,133.32677406512445,6934754
IN,NIDCD,9449464.79086949,25422570.352561638,83.15529015965151,6934754
IN,NIDCR,3396618.617603237,9138165.777417896,29.890243834908482,6934754
IN,NIDDK,34703578.82969974,93365517.92183883,305.3914937013578,6934754
IN,NIEHS,5735714.591168182,15431202.818712244,50.47428840227999,6934754
IN,NIGMS,47426534.914225064,127594995.81395495,417.3535072451805,6934754
IN,NIH_tot,456386392.1696619,1227848922.628497,4016.2002510930256,6934754
IN,NIMH,10781165.051277861,29005338.721778564,94.87425245124516,6934754
IN,NIMHD,2199979.9328735597,5918763.216276886,19.359823409287323,6934754
IN,NINDS,20696133.945582367,55680288.02710563,182.12597872112485,6934754
IN,NINR,1572676.7055913757,4231084.519026262,13.83955500920411,6934754
IN,NLM,1184644.1457236866,3187132.795765413,10.424868482368444,6934754
IN,OD,16943107.082054086,45583251.67798961,149.099342322076,6934754
KS,FIC,5719.883713074662,15801.57819058895,0.04633105807590479,2965252
KS,NCATS,4031401.373445786,11137027.816586254,32.65435112491085,2965252
KS,NCCIH,15838.91585786325,43756.11112689036,0.12829521844869227,2965252
KS,NCI,11414941.415193794,31534572.79225325,92.46102546306969,2965252
KS,NEI,549452.7322846288,1517901.5425404974,4.450567131505494,2965252
KS,NHGRI,282660.3239756459,780868.8838321621,2.28954862420273,2965252
KS,NHLBI,5206179.776369802,14382435.19226183,42.17005618859536,2965252
KS,NIA,19508161.513489977,53892658.482797734,158.0161082592688,2965252
KS,NIAAA,1864857.1914879368,5151798.218942935,15.105343251052298,2965252
KS,NIAID,9262019.384888614,25586975.33981798,75.02235701759776,2965252
KS,NIAMS,954664.7251042925,2637327.96963169,7.732784273344764,2965252
KS,NIBIB,1998177.1405082147,5520103.888163753,16.185234838116532,2965252
KS,NICHD,8101772.855660142,22381713.280022003,65.62436013084715,2965252
KS,NIDA,1221085.0701839752,3373332.777687014,9.8907890684902,2965252
KS,NIDCD,1627809.9003723112,4496938.5236542355,13.18526019301573,2965252
KS,NIDCR,1490378.893753483,4117275.7707323865,12.07206903940321,2965252
KS,NIDDK,7828981.959992572,21628109.381096795,63.41475387593981,2965252
KS,NIEHS,826541.5462099776,2283378.7407867825,6.694986524300823,2965252
KS,NIGMS,28202525.48124232,77911446.09203547,228.44045639806305,2965252
KS,NIH_tot,120462715.04263172,332786662.50604117,975.747991845316,2965252
KS,NIMH,2515862.1192250433,6950244.79305466,20.378483165722844,2965252
KS,NIMHD,765044.2538971893,2113488.176269051,6.196858456567233,2965252
KS,NINDS,3333936.6307376116,9210232.759216476,27.00488670897467,2965252
KS,NINR,722204.570355213,1995140.5588863299,5.849857019877227,2965252
KS,NLM,62795.340479127764,173476.51322306515,0.508642257880935,2965252
KS,OD,8669702.044203047,23950657.323231325,70.22458655804466,2965252
KY,FIC,26852.60714566639,70195.082378624,0.23093242145273102,4584046
KY,NCATS,5813079.471625422,15195902.214287894,49.99248345597862,4584046
KY,NCCIH,1173855.084324631,3068560.6763525023,10.095153725191834,4584046
KY,NCI,25536223.568822768,66753939.65765292,219.61152269187565,4584046
KY,NEI,5652954.821761905,14777322.263110526,48.61541146715238,4584046
KY,NHGRI,1595697.945541059,4171295.1048305403,13.723002331653115,4584046
KY,NHLBI,28400888.21873143,74242425.59857664,244.24763868109025,4584046
KY,NIA,30985489.282812282,80998800.63601197,266.4752078321857,4584046
KY,NIAAA,10432069.289938904,27270348.805030435,89.71579589347458,4584046
KY,NIAID,22343865.479160678,58408834.176077314,192.1572431207818,4584046
KY,NIAMS,3755099.243984237,9816160.469689123,32.29385349826441,4584046
KY,NIBIB,1206201.8574256517,3153117.992898776,10.373335973860604,4584046
KY,NICHD,5203606.837528299,13602687.018240564,44.751018802743346,4584046
KY,NIDA,33735535.05524117,88187662.7265141,290.1256014750738,4584046
KY,NIDCD,3651001.509048041,9544039.813410373,31.39861297781317,4584046
KY,NIDCR,6838247.197900515,17875781.02856535,58.80892590194443,4584046
KY,NIDDK,16186930.632130273,42314063.69652379,139.20760343632037,4584046
KY,NIEHS,16398650.724545388,42867518.683135286,141.02839623109034,4584046
KY,NIGMS,32061003.836187497,83810290.49485661,275.7246329912127,4584046
KY,NIH_tot,294298646.0497429,769322605.8577768,2530.968356027789,4584046
KY,NIMH,5260410.010199169,13751175.51931494,45.239526087712846,4584046
